Cluster,z,l,b,T,T_plus,T_minus,Lx,sigma_L,f,N_Hot,Z,Z_plus,Z_minus,Instrument
S1101,0.056,348.329,-64.811,2.447,0.07,0.057,1.761,7.2,24.40,1.17,0.23,0.028,0.028,Chandra
A3562,0.049,313.328,30.357,5.104,0.15,0.15,1.378,6.6,24.20,4.47,0.425,0.085,0.088,Chandra
A2204,0.151,21.083,33.236,10.241,0.24,0.253,14.253,4.8,23.70,7.28,0.378,0.066,0.06,Chandra
RXJ0123.6+3315,0.016,130.646,-29.127,1.32,0.018,0.016,0.147,15.2,23.30,6.37,0.307,0.022,0.019,Chandra
A0576,0.038,161.364,26.247,4.274,0.116,0.107,0.792,7.0,22.80,7.03,0.487,0.073,0.077,Chandra
A1651,0.084,306.726,58.618,7.471,0.373,0.311,3.840,6.0,22.50,1.63,0.655,0.149,0.125,Chandra
A2065,0.072,42.837,56.617,6.593,0.112,0.118,2.687,5.5,21.20,3.39,0.428,0.037,0.039,Chandra
RXCJ1504.1-0248,0.215,355.076,46.198,10.308,0.452,0.384,27.156,5.3,20.70,8.39,0.404,0.075,0.061,Chandra
A2597,0.085,65.341,-64.854,4.443,0.096,0.113,3.593,5.8,20.50,2.75,0.344,0.028,0.027,Chandra
A2634,0.031,103.479,-33.086,3.706,0.13,0.117,0.457,5.1,20.40,6.20,0.522,0.052,0.051,Chandra
A1650,0.084,306.676,61.062,5.724,0.085,0.082,3.461,6.1,20.30,1.43,0.323,0.023,0.016,Chandra
A3376,0.047,246.519,-26.084,5.891,0.212,0.234,1.027,4.8,19.70,5.84,0.743,0.118,0.112,Chandra
Zw1215.1+0400,0.077,282.503,65.186,7.6,0.383,0.326,2.768,5.4,19.70,1.88,0.423,0.113,0.109,Chandra
A0133,0.057,149.524,-84.154,4.251,0.061,0.059,1.463,6.7,19.30,1.65,0.364,0.032,0.04,Chandra
A2255,0.081,93.931,34.924,7.008,0.201,0.181,2.976,4.2,18.90,2.74,0.491,0.041,0.047,Chandra
A3391,0.051,262.377,-25.149,5.893,0.237,0.257,1.246,3.8,18.90,7.59,0.341,0.102,0.091,Chandra
A2163,0.203,6.768,30.465,19.236,0.85,0.805,24.421,6.4,18.80,20.60,0.313,0.095,0.08,Chandra
MKW4,0.020,276.888,62.370,1.727,0.041,0.036,0.167,6.0,18.80,1.87,0.393,0.057,0.051,Chandra
A2244,0.095,56.789,36.312,5.994,0.134,0.14,4.037,3.8,18.60,2.01,0.366,0.056,0.053,Chandra
A3532,0.055,304.426,32.478,4.627,0.254,0.281,1.428,24.0,18.50,8.44,0.705,0.131,0.126,Chandra
UGC03957,0.034,162.219,28.934,2.318,0.231,0.182,0.488,7.5,18.50,5.04,0.257,0.122,0.096,Chandra
A3827,0.098,332.222,-46.379,7.521,0.253,0.244,4.223,6.3,18.20,2.95,0.501,0.054,0.078,Chandra
RXCJ1539.5-8335*,0.064,307.564,-22.294,3.61,0.35,0.31,1.842,17.5,17.80,10.70,0.318,0.247,0.169,Chandra
RXJ0341.3+1524,0.031,172.183,-30.786,2.072,0.08,0.063,0.480,7.5,17.80,26.60,0.255,0.039,0.037,Chandra
A0400,0.024,170.271,-44.954,2.25,0.086,0.067,0.249,20.5,17.30,13.10,0.647,0.07,0.059,Chandra
Zw1742.1+3306,0.076,57.910,27.645,4.252,0.125,0.114,2.384,4.6,17.00,4.47,0.438,0.063,0.058,Chandra
A2151a,0.037,31.478,44.658,2.098,0.066,0.053,0.519,7.0,16.30,3.91,0.266,0.037,0.036,Chandra
A2107,0.041,34.401,51.527,4.017,0.12,0.096,0.625,15.7,16.10,5.35,0.503,0.071,0.059,Chandra
A3528S,0.054,303.784,33.643,4.316,0.384,0.318,1.164,16.0,15.80,8.23,0.391,0.159,0.165,Chandra
A3695,0.089,6.702,-35.548,6.693,0.473,0.456,2.945,12.4,15.40,3.46,0.162,0.153,0.11,Chandra
S0540,0.036,246.416,-30.291,2.799,0.113,0.098,0.444,5.2,15.30,3.33,0.626,0.086,0.073,Chandra
A2420,0.085,46.485,-49.454,6.399,0.376,0.345,2.706,7.5,15.00,4.26,0.364,0.136,0.146,Chandra
A3822,0.076,335.589,-46.457,5.081,0.347,0.286,2.133,6.8,14.90,2.53,0.335,0.134,0.119,Chandra
A0193,0.049,136.915,-53.268,3.908,0.144,0.149,0.835,19.3,14.80,4.92,0.466,0.09,0.079,Chandra
NGC6338i,0.028,85.802,35.401,2.012,0.063,0.053,0.251,15.4,14.70,2.43,0.241,0.038,0.033,Chandra
A1689,0.183,313.361,61.129,10.442,0.238,0.265,12.583,8.0,14.50,1.98,0.381,0.036,0.039,Chandra
A3558B,0.049,312.396,30.565,3.609,0.156,0.142,0.828,30.0,14.40,4.62,0.302,0.078,0.082,Chandra
RXCJ2014.8-2430*,0.154,18.329,-28.512,7.75,0.59,0.54,9.674,14.0,14.40,11.60,0.469,0.158,0.166,Chandra
A2877,0.024,293.051,-70.847,3.284,0.149,0.15,0.180,8.0,14.20,1.98,0.446,0.083,0.08,Chandra
A2415,0.058,53.978,-45.108,2.497,0.175,0.177,1.187,16.2,14.00,6.40,0.405,0.125,0.105,Chandra
A3560,0.049,312.721,28.953,3.594,0.18,0.191,0.797,9.3,14.00,5.16,0.328,0.108,0.105,Chandra
RXCJ1252.5-3116,0.054,303.216,31.603,2.022,0.268,0.246,1.003,7.8,14.00,7.49,0.145,0.127,0.145,Chandra
RXCJ1558.3-1410*,0.097,356.517,28.672,5.4,0.23,0.17,3.665,9.8,14.00,16.80,0.619,0.094,0.091,Chandra
NGC5846***,0.006,0.427,48.794,1.284,0.085,0.085,0.012,25.3,13.90,5.12,3.858,0.615,0.7,Chandra
A2593,0.043,93.448,-43.178,3.474,0.406,0.333,0.594,14.5,13.70,4.77,0.353,0.182,0.15,Chandra
A0548E,0.042,230.259,-24.417,3.357,0.3,0.247,0.546,6.2,13.60,1.63,0.433,0.164,0.132,Chandra
S0405*,0.049,296.421,-32.488,5.019,0.299,0.291,0.732,35.3,13.60,7.37,0.535,0.155,0.139,Chandra
USGCS152,0.015,262.763,40.402,0.92,0.086,0.078,0.071,6.8,13.60,4.55,0.081,0.052,0.081,Chandra
A2069,0.115,46.901,56.489,6.599,0.282,0.235,4.251,14.2,13.30,2.04,0.28,0.091,0.083,Chandra
A2665,0.056,96.949,-53.626,4.255,0.272,0.273,1.017,11.7,13.20,7.50,0.249,0.176,0.139,Chandra
A3921,0.094,321.953,-47.965,6.166,0.25,0.247,2.809,8.5,13.20,2.60,0.347,0.087,0.086,Chandra
A2061,0.078,48.130,57.161,4.668,0.141,0.159,1.873,14.4,13.10,1.80,0.368,0.073,0.063,Chandra
IC1365,0.049,53.513,-29.830,4.448,0.279,0.256,0.757,8.9,13.00,7.38,0.623,0.158,0.13,Chandra
A0376,0.049,147.108,-20.546,5.045,0.337,0.354,0.725,6.6,12.90,7.27,0.552,0.192,0.181,Chandra
A2572a,0.042,93.858,-38.801,3.038,0.22,0.241,0.547,15.3,12.70,5.97,0.124,0.093,0.124,Chandra
RXCJ2344.2-0422*,0.080,84.840,-62.163,4.66,0.24,0.29,1.941,14.9,12.60,3.82,0.546,0.141,0.137,Chandra
RXJ0123.2+3327,0.015,130.500,-28.943,0.943,0.01,0.008,0.063,23.5,12.50,6.48,0.266,0.015,0.021,Chandra
A1914,0.171,67.204,67.456,9.055,0.368,0.287,9.214,5.2,12.30,1.10,0.316,0.042,0.039,Chandra
MKW8,0.026,355.494,54.791,2.853,0.104,0.066,0.194,8.7,12.30,2.68,0.447,0.047,0.043,Chandra
A1750,0.085,322.606,59.485,4.565,0.362,0.274,2.143,11.6,12.20,2.67,0.339,0.229,0.14,Chandra
CAN010*,0.045,151.856,-75.045,2.52,0.26,0.31,0.579,28.7,12.20,1.99,0.247,0.175,0.124,Chandra
A1307,0.083,243.664,67.753,5.386,0.405,0.297,2.109,8.2,12.10,3.26,0.445,0.15,0.135,Chandra
A2426,0.098,49.685,-49.489,5.888,0.534,0.498,2.862,8.7,12.00,4.80,0.142,0.181,0.1,Chandra
A2734,0.062,19.563,-80.985,4.405,0.208,0.177,1.076,9.0,12.00,1.45,0.242,0.088,0.086,Chandra
A3128,0.062,264.800,-51.123,3.823,0.358,0.351,1.101,5.5,12.00,1.53,0.589,0.207,0.191,Chandra
A1413,0.143,226.184,76.785,8.73,0.291,0.207,6.123,6.4,11.90,1.97,0.363,0.055,0.043,Chandra
A1775*,0.075,31.955,78.714,3.621,0.061,0.062,1.594,16.7,11.90,1.07,0.615,0.041,0.042,Chandra
A1767,0.070,112.443,57.001,5.71,0.35,0.416,1.373,5.4,11.80,1.96,0.309,0.175,0.144,Chandra
AWM4,0.033,39.940,46.490,2.42,0.087,0.085,0.303,97.9,11.80,6.42,0.437,0.052,0.055,Chandra
IC1262,0.031,69.523,32.072,1.953,0.046,0.054,0.244,5.1,11.70,1.89,0.336,0.035,0.031,Chandra
S0861,0.051,345.831,-34.282,2.973,0.489,0.347,0.697,9.6,11.70,4.93,0.313,0.104,0.078,XMM-Newton
A2249,0.080,57.591,34.944,5.837,0.376,0.353,1.772,6.1,11.60,2.38,0.236,0.167,0.146,Chandra
A2626,0.056,100.448,-38.435,3.223,0.074,0.074,0.878,7.5,11.60,4.59,0.387,0.031,0.028,Chandra
A1831*,0.078,40.068,74.948,3.411,0.235,0.204,1.682,28.9,11.50,1.42,0.43,0.153,0.117,Chandra
A1835,0.253,340.387,60.586,10.909,0.372,0.283,19.729,7.3,11.50,2.24,0.411,0.063,0.057,Chandra
A3911,0.097,336.589,-55.433,6.467,0.492,0.365,2.536,9.7,11.40,1.14,0.557,0.166,0.155,Chandra
A3341,0.038,235.171,-31.090,3.415,0.344,0.306,0.370,7.3,11.30,1.59,0.546,0.23,0.167,Chandra
A0970,0.059,253.046,36.859,4.516,0.285,0.298,0.922,8.8,11.20,5.59,0.324,0.137,0.114,Chandra
A2034,0.113,53.580,59.530,7.793,0.097,0.093,3.526,6.4,11.20,1.62,0.43,0.036,0.032,Chandra
A2495,0.077,81.204,-41.952,4.639,0.576,0.477,1.595,35.7,11.10,6.12,0.761,0.273,0.284,Chandra
A3888,0.151,3.938,-59.428,12.242,0.919,0.829,6.422,8.9,11.10,1.38,0.296,0.168,0.151,Chandra
ZwCl235,0.083,120.731,-38.437,3.84,0.235,0.208,1.848,16.4,11.10,4.22,0.496,0.119,0.104,Chandra
RXCJ1524.2-3154,0.103,337.056,20.659,4.195,0.206,0.165,3.418,15.4,11.00,15.40,0.367,0.093,0.083,Chandra
A4010,0.096,359.039,-70.604,4.361,0.645,0.612,2.440,22.1,11.00,1.62,0.641,0.185,0.162,XMM-Newton
A3880,0.058,18.003,-58.506,2.701,0.174,0.154,0.861,8.2,10.90,1.21,0.296,0.118,0.075,Chandra
A2457,0.059,68.629,-46.585,3.726,0.301,0.29,0.928,15.7,10.70,7.24,0.345,0.161,0.132,Chandra
IVZw038,0.017,126.849,-30.288,1.815,0.081,0.088,0.073,18.9,10.70,6.55,0.501,0.072,0.071,Chandra
A0665,0.182,149.767,34.700,10.349,0.927,0.734,9.000,7.5,10.60,5.06,0.285,0.141,0.156,Chandra
A2837,0.114,302.863,-36.862,3.274,0.704,0.444,3.454,21.2,10.60,7.12,0.3,0.441,0.1,Chandra
A3392*,0.043,243.456,-19.963,2.095,0.308,0.232,0.453,39.6,10.32,7.96,0.306,0.206,0.127,Chandra
A2390,0.233,73.949,-27.817,14.419,0.484,0.557,15.674,10.3,10.30,8.39,0.558,0.072,0.071,Chandra
RXJ1720.1+2638,0.164,49.222,30.859,8.224,0.28,0.226,7.067,6.4,10.30,3.89,0.496,0.115,0.108,Chandra
A2219,0.228,72.621,41.469,12.119,0.291,0.267,14.189,5.2,10.20,1.87,0.357,0.05,0.046,Chandra
PegasusII,0.042,84.146,-47.545,3.743,0.335,0.315,0.441,8.3,10.20,6.04,0.284,0.033,0.028,XMM-Newton
RXJ1205.1+3920,0.038,158.229,74.447,1.337,0.13,0.115,0.350,7.4,10.10,2.92,0.098,0.079,0.049,Chandra
A0168,0.045,135.647,-61.953,2.779,0.122,0.11,0.469,9.3,10.00,3.33,0.416,0.054,0.055,Chandra
A3530,0.054,303.991,32.533,3.621,0.33,0.316,0.729,10.4,9.96,8.03,0.289,0.047,0.044,XMM-Newton
ZwCl1665,0.029,219.738,22.364,1.681,0.178,0.127,0.188,25.4,9.85,2.53,0.404,0.253,0.144,Chandra
A0550,0.099,226.157,-21.948,6.596,0.483,0.479,2.369,6.8,9.81,4.87,0.203,0.118,0.125,Chandra
A2110,0.098,48.791,53.194,4.003,0.321,0.292,2.268,10.7,9.73,2.49,0.305,0.205,0.161,Chandra
A3404*,0.167,263.670,-22.546,9.35,0.98,0.82,7.092,16.2,9.73,7.62,0.151,0.155,0.151,Chandra
A3528N,0.054,303.709,33.845,5.143,0.517,0.431,0.715,20.0,9.71,8.15,0.268,0.165,0.141,Chandra
A1668,0.064,323.376,81.649,3.089,0.244,0.216,0.941,8.1,9.60,2.39,0.342,0.153,0.135,Chandra
A2670,0.076,81.335,-68.530,4.449,0.179,0.162,1.344,12.1,9.58,2.99,0.39,0.098,0.085,Chandra
A2811,0.108,357.977,-87.509,5.891,0.49,0.469,2.759,9.8,9.58,1.79,0.364,0.036,0.035,XMM-Newton
A1084,0.134,256.393,44.037,4.518,0.413,0.397,4.378,12.2,9.57,3.89,0.331,0.045,0.043,XMM-Newton
A1991,0.059,22.787,60.496,2.641,0.105,0.083,0.779,9.0,9.56,2.72,0.5,0.082,0.065,Chandra
A0194,0.018,142.065,-62.999,1.83,0.196,0.141,0.072,14.1,9.55,4.80,0.667,0.088,0.114,XMM-Newton
A1800,0.075,40.626,77.139,4.716,0.412,0.393,1.270,8.2,9.54,1.20,0.262,0.241,0.147,Chandra
S0780*,0.235,340.910,35.074,9.43,1.13,0.78,14.755,18.2,9.44,10.10,0.179,0.103,0.179,Chandra
S0810,0.073,319.494,-27.513,3.283,0.36,0.327,1.192,18.1,9.42,7.10,0.203,0.041,0.041,XMM-Newton
A1285*,0.095,275.200,43.877,6.4,0.26,0.31,2.007,17.7,9.39,3.88,0.487,0.126,0.106,Chandra
S0753,0.013,319.611,26.536,1.796,0.044,0.037,0.038,14.4,9.21,6.68,0.314,0.023,0.025,Chandra
A0007,0.107,113.289,-29.710,4.674,0.389,0.321,2.565,9.1,9.17,5.45,0.157,0.136,0.157,Chandra
A3866,0.154,9.408,-56.946,4.699,0.635,0.435,5.530,8.8,9.16,1.10,0.655,0.257,0.268,Chandra
ZwCl8338,0.050,77.722,26.708,2.947,0.105,0.124,0.541,5.0,9.16,4.75,0.317,0.061,0.06,Chandra
RXCJ2104.9-5149,0.049,346.393,-41.376,2.081,0.267,0.277,0.511,12.3,9.11,2.80,0.421,0.114,0.098,XMM-Newton
A3809,0.062,356.057,-49.524,3.297,0.203,0.202,0.803,11.0,8.96,1.55,0.561,0.215,0.152,Chandra
A0076,0.040,117.861,-55.941,3.809,1.096,1.022,0.318,21.5,8.94,3.70,0.3,0.159,0.044,XMM-Newton
A2261,0.224,55.591,31.861,8.913,0.644,0.478,12.001,6.6,8.93,3.63,0.623,0.146,0.139,Chandra
A2009,0.153,28.894,60.141,6.785,0.487,0.456,5.405,18.5,8.90,3.89,0.521,0.16,0.149,Chandra
RXCJ1304.2-3030,0.012,306.203,32.275,1.058,0.04,0.031,0.030,13.6,8.86,8.85,0.245,0.053,0.039,Chandra
A2667*,0.233,34.017,-76.609,10.01,1.382,1.01,12.652,10.1,8.81,1.85,0.253,0.194,0.253,Chandra
A0957,0.045,242.902,42.839,2.857,0.214,0.175,0.403,12.8,8.79,3.87,0.403,0.159,0.12,Chandra
A2033,0.082,7.309,50.795,5.099,0.434,0.308,1.439,17.8,8.79,3.35,0.469,0.195,0.189,Chandra
A3378*,0.148,241.785,-24.012,5.8,0.81,0.42,4.092,9.8,8.75,4.82,0.396,0.189,0.163,Chandra
NGC1650,0.036,213.871,-34.941,3.212,0.623,0.397,0.254,10.3,8.58,5.34,0.333,0.105,0.087,XMM-Newton
A2428,0.083,51.381,-49.328,3.345,0.331,0.322,1.509,10.1,8.57,5.65,0.245,0.033,0.042,XMM-Newton
A3733,0.038,17.771,-39.604,2.205,0.244,0.246,0.311,11.5,8.49,9.77,0.221,0.05,0.048,XMM-Newton
1ES0657,0.296,266.025,-21.248,15.771,0.398,0.326,20.510,7.9,8.42,6.44,0.378,0.053,0.042,Chandra
A3694,0.094,8.793,-35.204,3.697,0.397,0.374,1.772,14.2,8.35,3.48,0.246,0.062,0.045,XMM-Newton
A3998,0.089,348.313,-66.442,4.311,0.498,0.472,1.609,13.3,8.34,1.66,0.495,0.097,0.088,XMM-Newton
RXCJ1926.9-5342,0.057,343.814,-26.671,1.309,0.141,0.117,0.667,26.6,8.33,5.00,0.266,0.015,0.017,XMM-Newton
A3541,0.129,306.515,38.535,5.122,0.074,0.075,3.989,12.5,8.32,13.2,0.287,0.04,0.042,Chandra
RBS1847,0.095,324.525,-44.980,5.619,0.484,0.427,1.836,8.9,8.27,2.45,0.579,0.246,0.223,Chandra
A3126,0.085,269.309,-49.884,5.087,0.377,0.364,1.352,7.6,8.25,1.62,0.415,0.216,0.172,Chandra
A0189,0.018,140.101,-59.993,1.269,0.034,0.036,0.062,23.1,8.21,3.32,0.275,0.056,0.039,Chandra
A1437,0.134,273.601,63.262,7.923,0.531,0.421,3.723,8.6,8.21,2.29,0.346,0.13,0.119,Chandra
A3104,0.072,255.328,-56.297,3.556,0.344,0.354,0.947,9.5,8.20,2.03,0.414,0.061,0.069,XMM-Newton
A2556,0.087,41.352,-66.966,4.572,0.242,0.286,1.508,18.0,8.18,1.97,0.466,0.169,0.126,Chandra
NGC7556,0.027,76.065,-56.279,1.405,0.095,0.094,0.132,10.6,8.12,4.19,0.229,0.016,0.017,XMM-Newton
A0514,0.072,219.486,-35.910,3.086,0.279,0.262,1.051,8.8,8.10,4.40,0.295,0.121,0.121,Chandra
NGC4325,0.026,279.578,72.198,1.041,0.014,0.013,0.125,7.8,8.08,2.54,0.364,0.1,0.079,Chandra
A0545,0.154,214.598,-22.706,8.11,0.361,0.377,5.684,8.7,7.99,16.3,0.179,0.111,0.179,Chandra
A2409,0.147,77.897,-26.625,6.768,0.39,0.373,4.882,12.0,7.96,9.02,0.528,0.192,0.206,Chandra
A2717,0.049,349.329,-76.489,2.488,0.132,0.13,0.444,17.8,7.94,1.22,0.489,0.08,0.077,Chandra
A3825,0.075,331.962,-45.782,4.239,0.439,0.405,1.069,10.3,7.82,3.28,0.299,0.044,0.038,XMM-Newton
RXCJ0340.6-0239,0.035,189.216,-42.735,1.258,0.107,0.146,0.221,10.6,7.82,7.33,0.211,0.054,0.014,XMM-Newton
A1068,0.137,179.119,60.121,4.72,0.28,0.287,3.725,8.3,7.79,1.78,0.347,0.102,0.107,Chandra
HCG62,0.015,303.620,53.669,1.281,0.017,0.019,0.039,13.2,7.78,3.81,0.335,0.044,0.032,Chandra
A2566,0.082,44.835,-67.242,3.134,0.413,0.377,1.205,18.2,7.67,1.98,0.409,0.092,0.09,XMM-Newton
A1033,0.126,189.303,59.229,6.333,0.252,0.25,2.892,11.1,7.65,1.73,0.296,0.077,0.08,Chandra
A2384,0.094,33.541,-48.431,5.83,0.27,0.26,1.661,20.0,7.56,3.01,0.754,0.356,0.291,Chandra
RXJ0352.9+1941*,0.111,171.034,-25.776,3.37,0.17,0.23,2.747,12.3,7.54,21.90,0.46,0.188,0.15,Chandra
A1205,0.078,255.066,56.002,5.197,1.313,1.039,1.088,9.2,7.51,4.40,0.497,0.148,0.135,XMM-Newton
A0586,0.171,187.537,21.946,7.045,0.275,0.23,5.620,9.1,7.50,5.84,0.279,0.072,0.055,Chandra
A3651,0.060,342.826,-30.498,5.815,0.465,0.397,0.622,17.0,7.43,4.72,0.417,0.208,0.206,Chandra
A3364,0.148,236.934,-26.646,7.799,0.526,0.517,4.363,7.5,7.36,2.27,0.212,0.158,0.117,Chandra
A3301,0.054,242.414,-37.413,4.832,0.462,0.465,0.471,10.0,7.29,2.23,0.301,0.078,0.047,XMM-Newton
Zw1021.0+0426,0.285,239.399,47.957,9.254,0.524,0.48,17.966,8.2,7.26,2.70,0.239,0.074,0.104,Chandra
A0990,0.144,165.071,54.123,8.044,0.761,0.7,3.858,8.2,7.22,0.85,0.189,0.152,0.123,Chandra
S0805,0.015,332.248,-23.600,1.017,0.057,0.047,0.038,26.1,7.22,8.24,0.062,0.025,0.019,Chandra
NGC1132,0.023,176.442,-51.078,1.179,0.023,0.022,0.097,16.2,7.19,6.70,0.266,0.029,0.033,Chandra
A0907*,0.164,249.368,33.268,6.82,0.21,0.15,5.121,9.3,7.12,6.67,0.471,0.07,0.073,Chandra
CID36,0.039,230.415,-26.019,3.432,0.299,0.366,0.247,8.9,7.12,1.70,0.386,0.023,0.034,XMM-Newton
A0520,0.203,195.810,-24.327,8.603,0.126,0.121,8.049,10.6,7.10,6.87,0.349,0.023,0.024,Chandra
A1132,0.137,149.227,54.182,9.937,1.282,0.912,3.504,7.3,7.08,0.63,0.692,0.273,0.213,Chandra
S1063,0.347,349.483,-59.933,14.2,0.676,0.617,26.677,10.9,7.04,1.28,0.433,0.088,0.102,Chandra
A2175,0.097,49.323,44.378,5.818,0.476,0.453,1.634,8.4,7.03,2.87,0.493,0.199,0.212,Chandra
AWM5,0.034,49.017,35.928,2.04,0.11,0.099,0.192,8.2,7.00,6.37,0.351,0.067,0.07,Chandra
S0301,0.023,229.003,-63.960,1.373,0.042,0.034,0.087,8.6,6.99,2.56,0.276,0.048,0.041,Chandra
A0655,0.127,172.661,35.155,4.776,0.666,0.548,2.779,10.9,6.95,4.39,0.218,0.232,0.15,Chandra
A2377,0.081,45.090,-43.191,5.207,0.568,0.439,1.114,41.6,6.95,4.60,0.779,0.172,0.172,XMM-Newton
A0646*,0.127,172.652,34.585,6.165,2.505,1.595,2.871,9.1,6.94,4.71,1.531,1.496,1.072,Chandra
A1190,0.079,172.773,65.321,4.061,0.344,0.336,1.048,10.3,6.90,1.39,0.33,0.217,0.167,Chandra
S0555,0.044,243.544,-26.290,2.334,0.235,0.237,0.310,10.9,6.88,3.93,0.304,0.073,0.063,XMM-Newton
UGC09480*,0.097,28.192,64.419,4.092,0.753,0.746,1.556,9.0,6.83,2.59,0.254,0.084,0.075,XMM-Newton
S0112,0.066,301.951,-50.303,3.614,0.411,0.392,0.687,36.0,6.81,2.37,0.351,0.071,0.063,XMM-Newton
S0592,0.227,263.134,-23.433,10.457,0.386,0.319,10.106,8.1,6.79,8.28,0.408,0.08,0.096,Chandra
A0795,0.136,217.084,40.152,5.396,0.343,0.283,3.254,9.6,6.77,3.62,0.256,0.129,0.117,Chandra
A2124,0.065,57.691,52.300,5.165,0.361,0.294,0.688,22.6,6.74,1.85,0.352,0.153,0.129,Chandra
